Name,Rating,Rating_Extremeness,Helpfulness,Helpfulness_Negative,Helpfulness_Positive,Verification,Amount_of_positive_attributes,Amount_of_negative_attributes,Amount_of_neutral_attributes,Total_amount_of_attributes,Total_amount_of_valent_attributes,Date_of_Review
vasilis_karras67,4,1,8,0,8,0,7,1,0,8,8,2022-01-10
make2005gr,3,0,1,6,7,0,3,0,4,7,3,2022-01-05
dhiotelli,5,2,11,1,12,0,7,0,1,8,7,2021-12-20
CHristos_Vlassis,4,1,-15,18,3,0,8,0,0,8,8,2021-11-23
GeorgeEfk,5,2,5,3,8,0,8,0,0,8,8,2021-11-04
Markos_Karvounis5131,5,2,1,1,2,0,8,0,0,8,8,2024-01-28
Panos_Skarvellis,2,1,1,0,1,0,5,0,2,7,5,2024-01-06
Dimitris_Kafetsis9796,1,2,1,0,1,0,3,3,2,8,6,2023-10-27
Prodromos_CHristidis,4,1,4,0,4,0,7,0,1,8,7,2022-12-31
Georgios_Kallergis9314,4,1,3,0,3,0,7,1,0,8,8,2022-12-05
Eleni_Psochiou25,4,1,2,2,4,0,6,1,1,8,7,2022-11-24
Kostas_Kad,5,2,8,0,8,0,8,0,0,8,8,2022-11-17
Rafaella_Euaggelopoulou,1,2,-4,11,7,0,0,4,3,7,4,2022-10-21
Isidor_ned,1,2,-10,17,7,0,0,4,4,8,4,2022-07-29
fotfire,5,2,3,0,3,1,8,0,0,8,8,2022-07-17
maro_kili,4,1,-6,6,0,0,4,0,4,8,4,2022-05-28
Spy_D,3,0,-8,9,1,0,5,1,2,8,6,2022-04-14
konsta_Pot,5,2,4,0,4,0,8,0,0,8,8,2022-02-10
Pandimia,5,2,8,0,8,0,8,0,0,8,8,2021-12-16
Vagelis_Tasios,5,2,5,0,5,1,8,0,0,8,8,2021-12-14
Dimitris_Kirkos,5,2,8,0,8,1,8,0,0,8,8,2021-12-10
founis,5,2,9,0,9,0,6,0,1,7,6,2021-12-04
panagoulakou,4,1,9,1,10,0,6,0,2,8,6,2021-11-26
loukas_sigalas,5,2,4,2,6,1,0,0,0,0,0,2021-11-24
kostas_kas85,5,2,12,2,14,0,8,0,0,8,8,2021-09-07
Sch_CHRISTODOULOU,5,2,7,3,10,0,7,0,1,8,7,2021-08-27
moschidis_m,2,1,-6,22,16,0,6,1,1,8,7,2021-08-14
Markos_Karvounis5131,5,2,0,1,1,0,8,0,0,8,8,2024-01-28
Prodromos_CHristidis,4,1,3,0,3,0,7,0,1,8,7,2022-12-31
Kostas_Kad,5,2,7,0,7,0,8,0,0,8,8,2022-11-17
Helen_Siourda,4,1,1,0,1,1,7,0,1,8,7,2023-08-22
George_Atmatsidis,3,0,0,1,1,0,3,1,4,8,4,2023-06-16
George_Kastr,5,2,3,0,3,0,8,0,0,8,8,2022-11-26
Dimitris_Oblivion,1,2,-5,8,3,0,4,2,2,8,6,2022-09-27
manoslar,5,2,6,0,6,0,8,0,0,8,8,2022-09-17
Chuckie,5,2,7,0,7,0,4,0,0,4,4,2022-02-28
akokkinn,3,0,-12,15,3,0,3,1,4,8,4,2022-02-22
tstrigaris,5,2,5,1,6,0,6,0,2,8,6,2022-01-25
Sakis_Liako,2,1,-8,15,7,0,3,3,2,8,6,2022-01-10
alexgiannouli,5,2,7,0,7,0,8,0,0,8,8,2022-01-02
IOANNIS_IOANNIS5200,3,0,-34,42,8,0,4,0,4,8,4,2021-12-05
ganiosnikos,5,2,8,1,9,0,8,0,0,8,8,2021-11-30
Theodoros Kos282tea,5,2,1,3,4,0,8,0,0,8,8,2021-11-26
Pavletos66,5,2,10,2,12,0,8,0,0,8,8,2021-11-15
Kapakos_Charalampos,1,2,-32,36,4,0,3,2,3,8,5,2021-11-07
cel17,5,2,7,1,8,0,7,0,1,8,7,2021-10-22
maria_faniadou,4,1,4,0,4,0,7,0,1,8,7,2021-10-20
gk140,4,1,-2,11,9,0,4,0,4,8,4,2021-09-29
Manos_Bits,4,1,15,2,17,1,8,0,0,8,8,2021-09-28
GIANNIS_NEO,3,0,-31,36,5,0,2,4,2,8,6,2021-09-24
dkoufou,4,1,-6,12,6,1,6,0,2,8,6,2021-09-21
Panagiotis_Tsigris,5,2,6,0,6,0,7,0,1,8,7,2021-09-20
George_Tamvakis60,4,1,-20,23,3,1,6,0,2,8,6,2021-09-15
IRAKLIS_PASCHALIDIS,5,2,9,0,9,0,7,0,1,8,7,2021-09-08
orplef1,4,1,2,2,4,0,6,0,2,8,6,2021-08-13
Traiani_Anastasiou,5,2,7,1,8,0,8,0,0,8,8,2023-11-09
waskmartha,5,2,5,0,5,0,6,0,2,8,6,2023-03-18
Fallen Proud,5,2,5,0,5,0,7,0,1,8,7,2022-09-06
Andreas_Fragkos,5,2,2,0,2,0,4,3,1,8,7,2022-08-24
Vas_V,5,2,2,0,2,0,8,0,0,8,8,2021-09-30
Konstantinos_Maros,5,2,2,0,2,0,8,0,0,8,8,2021-09-30
p.e1337,4,1,3,0,3,0,7,0,1,8,7,2021-06-29
jimpap009_gaming,5,2,3,0,3,0,8,0,0,8,8,2021-06-19
George_Pitsokos,5,2,1,2,3,1,8,0,0,8,8,2021-03-16
Giannis_Z_80,5,2,-1,5,4,0,7,0,1,8,7,2021-02-14
Dimpapak_2173,5,2,5,0,5,0,8,0,0,8,8,2020-09-08
theofanis_panagioti,5,2,4,2,6,0,5,1,2,8,6,2020-07-28
cscscs21,5,2,6,0,6,0,8,0,0,8,8,2020-07-03
Ok_Radio,5,2,-4,8,4,0,8,0,0,8,8,2020-06-25
anna_voul,2,1,-14,20,6,0,5,0,3,8,5,2020-06-24
asd_somi,5,2,-3,5,2,0,7,0,1,8,7,2020-06-20
C4ChRiS,5,2,6,0,6,0,8,0,0,8,8,2020-05-25
Mike kesidis,5,2,5,1,6,1,7,0,1,8,7,2020-05-09
argirenia.trig,5,2,-6,8,2,0,8,0,0,8,8,2020-05-07
Sofia_Athanasiadou72,4,1,1,3,4,1,6,0,2,8,6,2020-05-05
d.j.paul,3,0,-14,17,3,0,4,1,3,8,5,2020-05-03
zordonas,5,2,5,1,6,1,7,0,1,8,7,2020-05-01
Dimitrios_Papapolyzos,5,2,0,3,3,1,7,0,1,8,7,2020-04-30
giorgis7,5,2,6,0,6,1,8,0,0,8,8,2020-04-28
Refoutzio,5,2,1,0,1,0,8,0,0,8,8,2024-01-31
butrosdeborde,5,2,1,1,2,0,8,0,0,8,8,2023-08-12
gatonakos,2,1,-3,10,7,0,4,1,3,8,5,2022-03-11
mikis18,5,2,14,0,14,0,7,1,0,8,8,2021-11-29
panos_ dim,5,2,1,2,3,0,8,0,0,8,8,2021-11-25
Christian_Angelov,5,2,4,0,4,0,8,0,0,8,8,2021-11-19
Thanospap21,5,2,3,0,3,0,8,0,0,8,8,2021-10-25
Maria_mar53,5,2,4,0,4,0,8,0,0,8,8,2021-10-24
TSAV11,5,2,6,1,7,0,8,0,0,8,8,2021-08-14
Maios_T,5,2,4,0,4,0,8,0,0,8,8,2021-07-25
George_Kampilis,5,2,3,0,3,0,7,0,0,7,7,2021-07-05
michail_foutzitzis,4,1,-2,4,2,0,8,0,0,8,8,2021-06-10
bironkalomamas,5,2,5,0,5,0,7,0,1,8,7,2021-05-14
Prionysis,5,2,3,1,4,1,8,0,0,8,8,2021-04-28
vaggelispapatsarakis,5,2,4,2,6,1,7,0,1,8,7,2021-04-01
Fotis Dilvois,5,2,5,1,6,0,8,0,0,8,8,2021-03-21
panos 675,1,2,-10,19,9,1,6,2,0,8,8,2021-03-12
Leon_Laza,2,1,-7,17,10,0,4,2,2,8,6,2021-03-10
Nikos_Gerakaris,5,2,8,1,9,0,8,0,0,8,8,2021-02-09
Maximos_Dimopoulos,2,1,-12,18,6,0,2,0,6,8,2,2021-02-07
Αντωνης Ματσης,5,2,11,2,13,0,8,0,0,8,8,2021-01-28
Teo_Sarlis,3,0,2,0,2,0,5,1,2,8,6,2021-01-21
giannis christopoulos,5,2,5,2,7,0,7,0,1,8,7,2021-01-20
mitsi1995,5,2,5,3,8,0,7,0,1,8,7,2021-01-11
lydia.ki,5,2,1,3,4,0,8,0,0,8,8,2021-01-11
marilynzolotasgr,1,2,0,0,0,1,7,1,0,8,8,2024-02-18
Sakis_Petridis73,4,1,0,0,0,1,7,0,1,8,7,2024-01-30
thanosfragi,4,1,-1,1,0,1,2,0,6,8,2,2024-01-16
Lio_2010,4,1,-1,1,0,0,5,0,1,6,5,2024-01-02
lupo1926,5,2,0,1,1,1,8,0,0,8,8,2023-12-24
annispanoudaki,5,2,4,0,4,0,7,0,1,8,7,2023-11-23
salajaleksander7,5,2,0,0,0,1,5,1,2,8,6,2023-10-15
Panagiotis Bakalis,4,1,-4,5,1,1,5,0,3,8,5,2023-09-21
Ακης10,3,0,2,1,3,1,2,0,6,8,2,2023-09-19
Nick 123789,5,2,6,0,6,0,5,0,3,8,5,2023-09-15
Giorgos_Alexakis79,1,2,-8,13,5,1,1,4,2,7,5,2023-04-28
Tester4ever,2,1,-2,6,4,1,1,3,2,6,4,2023-04-25
ngroussos,3,0,-10,14,4,1,5,0,3,8,5,2023-03-14
Devis_Jankulla,3,0,-12,14,2,1,5,1,2,8,6,2023-02-14
SAM_PATIS,4,1,-4,11,7,1,3,0,5,8,3,2023-02-07
dtsakiris78,4,1,0,4,4,1,7,0,1,8,7,2023-01-14
Co_Ma,3,0,1,2,3,1,2,1,5,8,3,2024-02-23
Katerina_Korouna,5,2,6,1,7,1,7,0,0,7,7,2024-01-16
FOTIS_AVGOUSTIS13,5,2,3,1,4,1,6,0,2,8,6,2024-01-09
karampasdimitris,5,2,6,15,21,1,5,0,3,8,5,2023-12-12
Geo_Karne,5,2,2,6,8,0,6,0,2,8,6,2023-12-12
Co_Ma,3,0,0,2,2,1,2,1,5,8,3,2024-02-23
Aggela_Roumelioti,4,1,0,0,0,0,7,0,1,8,7,2024-02-28
Giorgos_Tsolakis51,5,2,3,0,3,1,5,0,3,8,5,2023-11-22
Dxml,3,0,-1,2,1,0,5,2,1,8,7,2023-11-18
Maria9184,5,2,6,0,6,0,8,0,0,8,8,2023-10-30
akis_giannakop,5,2,2,1,3,0,6,0,2,8,6,2023-09-03
shamhrin71,3,0,4,1,5,0,5,1,0,6,6,2023-06-26
Christos_Tsiarkas,2,1,-1,7,6,0,2,1,4,7,3,2023-06-21
avassilakis,5,2,12,3,15,0,8,0,0,8,8,2023-05-24
jay_.k,3,0,3,4,7,0,5,0,3,8,5,2023-05-21
zoricspsol,1,2,-14,19,5,0,4,1,1,6,5,2023-05-09
eleadsp_ad,4,1,-1,3,2,1,7,0,1,8,7,2023-04-28
kos83,4,1,-1,4,3,0,8,0,0,8,8,2023-04-06
anton_kou,5,2,6,2,8,0,8,0,0,8,8,2023-04-05
erion_er!on,4,1,3,0,3,0,5,0,2,7,5,2023-03-30
Apostolos_Kopsaris,5,2,2,1,3,0,8,0,0,8,8,2023-03-13
Ioannis_Xefteris2392,5,2,3,1,4,0,8,0,0,8,8,2023-03-04
antwnhsarp,4,1,1,0,1,1,7,0,1,8,7,2023-03-03
Ilias_Riou,2,1,-2,6,4,0,4,1,3,8,5,2023-02-26
antonis_michailidis5666,5,2,5,1,6,0,8,0,0,8,8,2023-02-21
Κωνσταντίνος Πανικογλου,4,1,1,0,1,1,5,0,3,8,5,2023-02-18
Andreas Karandreas,3,0,-1,5,4,0,4,0,4,8,4,2023-02-08
garizogr,5,2,3,0,3,1,7,0,1,8,7,2023-02-04
nikos_famelis9580,1,2,-12,14,2,0,3,3,2,8,6,2023-02-03
arsenis_xotza,1,2,-9,13,4,0,2,3,3,8,5,2023-01-27
MCBoi,2,1,-2,6,4,0,6,1,1,8,7,2023-01-21
Maria9184,5,2,5,0,5,0,8,0,0,8,8,2023-10-30
ILIAS_KOTSIS7566,5,2,2,0,2,1,7,0,1,8,7,2023-12-27
spysteven,1,2,-1,4,3,0,5,1,2,8,6,2023-12-25
Gabriel_Apostolakis,5,2,5,0,5,1,8,0,0,8,8,2023-11-28
Στελιος Παπας,2,1,-8,10,2,0,2,4,2,8,6,2023-11-15
spiros_koutsakis,1,2,-6,9,3,0,2,4,2,8,6,2023-10-12
Manos_Miliaras4641,4,1,-11,12,1,1,3,0,4,7,3,2023-06-05
gboletsis1977,5,2,3,5,8,0,8,0,0,8,8,2023-03-15
Γρηγόρης Δημητρακόπουλος,5,2,9,3,12,1,8,0,0,8,8,2023-02-15
Andreas_Grammenos,5,2,5,1,6,1,8,0,0,8,8,2023-02-14
Niki_L_9180,5,2,7,1,8,1,6,0,2,8,6,2023-02-07
Alex7214r,4,1,1,3,4,1,7,0,1,8,7,2023-01-31
futhrwei,5,2,3,2,5,1,7,0,0,7,7,2023-01-17
Dimitris_Kr_,5,2,3,4,7,1,8,0,0,8,8,2023-01-12
Beretz Berry,5,2,34,0,34,1,8,0,0,8,8,2023-01-08
mesogitis,5,2,10,1,11,1,8,0,0,8,8,2023-01-08
George_Petsalnikos,5,2,15,6,21,1,8,0,0,8,8,2022-12-20
krotonsoul,5,2,4,3,7,0,8,0,0,8,8,2022-12-18
mixalis1204,4,1,-17,28,11,0,6,0,2,8,6,2022-12-18
Dimitra_Spanou39,5,2,19,0,19,0,8,0,0,8,8,2022-12-05
pmansalis,5,2,4,2,6,0,8,0,0,8,8,2022-11-22
Jason_Rodius,5,2,15,1,16,0,7,0,0,7,7,2022-11-11
Johnnie.,4,1,3,1,4,0,7,0,1,8,7,2022-11-04
Dimitris Karalis,5,2,30,1,31,0,8,0,0,8,8,2022-10-11
olgagiannak,5,2,20,0,20,0,8,0,0,8,8,2022-10-08
xristos_kar1317,5,2,6,3,9,0,8,0,0,8,8,2022-09-21
Petros_Kiosia,5,2,11,2,13,1,8,0,0,8,8,2022-09-15
Vagpap_88,5,2,10,3,13,1,8,0,0,8,8,2022-08-09
spysteven,1,2,-2,4,2,0,5,1,2,8,6,2023-12-25
Στελιος Παπας,2,1,-7,9,2,0,2,4,2,8,6,2023-11-15
Thanos_Life,5,2,5,1,6,1,7,0,1,8,7,2023-05-15
KOKIS73,3,0,3,0,3,0,5,1,2,8,6,2023-12-08
John_Arditsoglou,5,2,1,0,1,0,8,0,0,8,8,2023-09-03
Nikos_Kokkalas71,4,1,5,1,6,0,6,0,2,8,6,2023-07-23
ranos7,4,1,-2,2,0,0,6,0,2,8,6,2023-07-20
takis_tatsis26,5,2,4,1,5,0,8,0,0,8,8,2023-05-07
gkaingr,5,2,-1,3,2,0,8,0,0,8,8,2023-04-01
Thanos_Core,5,2,2,5,7,0,7,0,1,8,7,2023-02-09
CHRYSA_CHRISTODOULOU2057,5,2,-3,6,3,1,8,0,0,8,8,2023-02-07
mete,5,2,-1,3,2,0,1,0,0,1,1,2023-01-21
Γιάννης Βέγκος,4,1,-2,3,1,0,7,0,1,8,7,2023-01-18
Aggelos_Mouzourakis,4,1,-6,12,6,1,7,0,1,8,7,2022-08-04
[email protected],4,1,-4,10,6,0,7,1,0,8,8,2022-07-22
stamos19105,3,0,-38,48,10,0,6,2,0,8,8,2022-07-12
thesbelial,4,1,73,11,84,0,6,0,2,8,6,2022-05-22
ilektronikaboy,5,2,16,5,21,0,7,0,1,8,7,2022-05-20
dimoslok89,3,0,-54,97,43,0,5,1,2,8,6,2022-05-20
KOKIS73,3,0,4,0,4,0,5,1,2,8,6,2023-12-08
Nikos_Kokkalas71,4,1,6,1,7,0,6,0,2,8,6,2023-07-23
gug_itt,1,2,-5,8,3,0,3,1,4,8,4,2024-03-05
Gerados_Gazile,5,2,3,0,3,1,7,0,1,8,7,2024-03-01
eksasteros3d,4,1,1,1,2,1,7,0,1,8,7,2024-02-20
Manolis_Kats,3,0,-14,15,1,0,6,1,1,8,7,2024-02-10
Μυσσωνας,5,2,10,0,10,1,8,0,0,8,8,2024-02-10
antlekkas,5,2,16,0,16,1,8,0,0,8,8,2024-02-04
ntevol,5,2,7,0,7,0,7,0,1,8,7,2024-02-01
I_love_vape_1999,5,2,8,1,9,1,8,0,0,8,8,2024-02-01
tasosc98,5,2,6,1,7,1,5,0,3,8,5,2024-01-15
Spyros koutellas,3,0,-30,30,0,0,7,1,0,8,8,2024-01-04
milona_sophia,4,1,-16,19,3,0,5,0,3,8,5,2024-01-02
SAMOS8231,5,2,-30,33,3,0,5,0,3,8,5,2023-12-31
DIMITRIS070880,5,2,10,1,11,0,8,0,0,8,8,2023-12-10
nikotsam,5,2,8,3,11,1,8,0,0,8,8,2023-12-05
zippo_p,5,2,5,0,5,0,7,0,0,7,7,2023-12-02
johdik8139,5,2,7,4,11,0,8,0,0,8,8,2023-11-27
zzzmallzz_iZ,5,2,11,1,12,0,8,0,0,8,8,2023-11-26
theredavenger,5,2,3,1,4,0,8,0,0,8,8,2023-11-25
xasaphs1985a,5,2,14,2,16,0,8,0,0,8,8,2023-11-25
γιαννης μπατ,5,2,1,0,1,1,6,0,0,6,6,2023-11-25
kostasbet,5,2,9,2,11,1,8,0,0,8,8,2023-11-21
evilkotsos,5,2,13,2,15,1,6,0,2,8,6,2023-11-15
feregios.racing,5,2,12,0,12,1,7,0,1,8,7,2023-11-15
Giorgos Vavamis,5,2,4,3,7,0,8,0,0,8,8,2023-11-05
djmythbasster,5,2,14,1,15,0,8,0,0,8,8,2023-11-02
gug_itt,1,2,-5,9,4,0,3,1,4,8,4,2024-03-05
Manolis_Kats,3,0,-15,16,1,0,6,1,1,8,7,2024-02-10
Μυσσωνας,5,2,11,0,11,1,8,0,0,8,8,2024-02-10
antlekkas,5,2,17,0,17,1,8,0,0,8,8,2024-02-04
I_love_vape_1999,5,2,9,1,10,1,8,0,0,8,8,2024-02-01
Spyros koutellas,3,0,-31,31,0,0,7,1,0,8,8,2024-01-04
milona_sophia,4,1,-17,20,3,0,5,0,3,8,5,2024-01-02
gug_itt,1,2,-3,4,1,0,3,1,4,8,4,2024-03-05
gug_itt,1,2,-2,2,0,0,3,1,4,8,4,2024-03-05
Giorgos Vavamis,5,2,4,3,7,0,6,0,2,8,6,2023-11-05
gug_itt,1,2,-6,8,2,0,3,1,4,8,4,2024-03-05
christos_c.b.b.msn.com,5,2,1,0,1,0,8,0,0,8,8,2024-03-12
christosbaltasmsn.com,4,1,0,1,1,1,7,0,1,8,7,2024-02-13
Darylgrime,5,2,4,0,4,0,7,0,1,8,7,2024-02-11
JIM_JIM4,5,2,0,0,0,0,6,0,2,8,6,2024-01-30
Rena_Papadopoulou6346,2,1,-13,16,3,0,3,4,1,8,7,2024-01-29
John_John1175,4,1,0,0,0,0,5,1,2,8,6,2023-12-25
MANOS_DEREKAS,3,0,-22,30,8,0,5,0,3,8,5,2023-12-20
Dimitris_Xaidemenos,5,2,10,2,12,1,8,0,0,8,8,2023-12-19
spirospa,1,2,-22,26,4,0,0,8,0,8,8,2023-12-11
Jim_Routis,5,2,23,4,27,1,0,0,0,0,0,2023-12-09
harryadosoglou,5,2,3,1,4,0,8,0,0,8,8,2023-11-24
tomisv85,5,2,11,28,39,1,8,0,0,8,8,2023-11-13
thanos231985,5,2,0,7,7,1,8,0,0,8,8,2023-11-05
Steve_Harley,5,2,6,5,11,0,6,0,2,8,6,2023-10-22
Panagiotis_,5,2,5,2,7,0,8,0,0,8,8,2023-10-18
NICK D,4,1,5,5,10,1,6,0,2,8,6,2023-10-07
Con_Bachas,4,1,9,15,24,1,8,0,0,8,8,2023-10-02
theologoskl,4,1,-2,8,6,0,5,1,2,8,6,2023-10-02
Apo*,5,2,0,8,8,0,8,0,0,8,8,2023-09-29
xristos_koutsopoulos,2,1,-43,60,17,0,3,2,3,8,5,2023-09-18
fasinos,5,2,17,2,19,0,8,0,0,8,8,2023-09-04
spuros12334556,5,2,16,4,20,0,7,0,1,8,7,2023-09-03
aristidis_agathagelidis,5,2,16,2,18,1,8,0,0,8,8,2023-08-11
Savvas_Aslanidis,4,1,3,2,5,0,8,0,0,8,8,2023-08-10
Michalis_Spantidakis,4,1,9,2,11,1,7,0,0,7,7,2023-08-01
Panagiotis 123,4,1,2,10,12,0,7,0,1,8,7,2023-07-17
Vasilis_Gravanis,5,2,26,2,28,0,8,0,0,8,8,2023-06-26
Darylgrime,5,2,2,0,2,0,7,0,1,8,7,2024-02-11
Rena_Papadopoulou6346,2,1,-13,15,2,0,3,4,1,8,7,2024-01-29
MANOS_DEREKAS,3,0,-22,30,8,0,5,2,1,8,7,2023-12-20
spirospa,1,2,-21,25,4,0,0,8,0,8,8,2023-12-11
xristos_koutsopoulos,2,1,-42,59,17,0,3,2,3,8,5,2023-09-18
Konstantinos_Tsitiridis,3,0,-66,90,24,0,4,1,3,8,5,2023-06-08
Rena_Papadopoulou6346,2,1,-14,17,3,0,3,4,1,8,7,2024-01-29
Apo*,5,2,0,8,8,0,2,0,0,2,2,2023-09-29
Theofanis_Paraskevaidis,2,1,1,0,1,0,1,3,4,8,4,2023-12-28
THiseas_Papadopoulos29,3,0,-1,2,1,1,3,2,2,7,5,2023-05-09
dimitris_tsioulis7160,5,2,0,0,0,0,8,0,0,8,8,2023-01-16
THanasis_Kapousidis,2,1,-4,8,4,0,2,0,6,8,2,2022-12-26
Grigoris_Karypidis4864,5,2,-2,2,0,0,5,0,3,8,5,2022-12-24
giorgos_pap1977,4,1,1,0,1,1,5,0,3,8,5,2022-11-06
Tatiana_Syrigou,4,1,-1,1,0,0,1,1,6,8,2,2022-10-15
nikosrita87,2,1,1,0,1,1,7,1,0,8,8,2022-09-10
Panos_Mouselinos,5,2,1,0,1,0,8,0,0,8,8,2022-09-07
dimtraxiotis,3,0,0,0,0,0,7,0,1,8,7,2022-08-31
James_Black,3,0,2,0,2,1,6,0,2,8,6,2022-08-20
Markos_Mavrotelis,4,1,0,0,0,0,7,0,1,8,7,2022-08-20
pkout,3,0,3,2,5,1,4,1,3,8,5,2022-08-15
ΧΑΡΗΣ.ΙΣ,1,2,6,0,6,0,1,7,0,8,8,2022-08-05
Our_buisnes_s,5,2,-2,3,1,1,8,0,0,8,8,2022-08-04
Ksexasa,1,2,6,0,6,0,7,0,1,8,7,2022-08-03
Stefanos_Fougias,1,2,6,0,6,0,7,1,0,8,8,2022-07-27
fotispro18,1,2,7,0,7,0,4,1,3,8,5,2022-07-21
Rafail_Agelos_THemelis,5,2,0,0,0,0,7,0,1,8,7,2022-07-19
paminos_Tech,1,2,7,0,7,0,5,0,3,8,5,2022-07-03
Nick_the_greek9077,2,1,0,0,0,0,7,0,1,8,7,2022-07-01
Aris6587,1,2,3,0,3,0,7,0,1,8,7,2022-06-30
Spyros_Konstantinidis1307,4,1,-1,1,0,0,6,0,2,8,6,2022-06-20
Simakii,2,1,1,0,1,0,3,3,2,8,6,2022-06-15
b_giannios,2,1,2,1,3,0,8,0,0,8,8,2022-06-09
Basileios_Mouratidhs,5,2,1,0,1,0,5,0,3,8,5,2022-05-18
Johan_Kak,1,2,9,3,12,0,7,1,0,8,8,2022-05-09
bouzoukokatastasi_bouzoukokata,5,2,1,0,1,0,8,0,0,8,8,2022-05-08
konthen2622,1,2,-1,2,1,0,2,2,4,8,4,2023-08-15
manostanas,4,1,0,0,0,0,5,0,3,8,5,2023-07-23
nikos ktistakis,1,2,2,1,3,0,0,5,3,8,5,2023-06-08
aimilios xaritos,4,1,1,0,1,0,5,1,2,8,6,2023-02-11
Dimitris_Paylidis2067,2,1,-2,4,2,0,1,4,3,8,5,2022-12-13
porto7,5,2,-7,9,2,0,8,0,0,8,8,2022-12-13
c0stakis,4,1,-1,2,1,1,7,0,1,8,7,2022-12-05
CHristos_Leontopoulos8530,5,2,4,1,5,0,8,0,0,8,8,2022-11-09
Βασίλης Λυμπε,3,0,3,4,7,0,2,2,4,8,4,2022-11-04
antwniaki,2,1,-5,6,1,0,0,5,3,8,5,2022-10-19
Memes_Are_me,2,1,5,3,8,0,4,1,3,8,5,2022-10-11
stergini_GR,5,2,2,0,2,1,8,0,0,8,8,2022-10-04
silioscap,2,1,-2,9,7,0,1,4,3,8,5,2022-09-24
G1anak1s,5,2,6,0,6,1,8,0,0,8,8,2022-09-24
aaandreas0991,3,0,4,0,4,1,4,0,4,8,4,2022-09-22
kostas_fragos95,3,0,3,0,3,0,4,1,3,8,5,2022-09-09
Γιώργος Pkts,5,2,4,3,7,1,8,0,0,8,8,2022-08-04
tsimpnikos,5,2,6,1,7,1,6,0,2,8,6,2022-07-26
Flavio_Halili,4,1,4,2,6,0,8,0,0,8,8,2022-07-15
kourtina74,4,1,-2,6,4,1,7,0,1,8,7,2022-07-05
geokar23,1,2,-5,10,5,0,2,1,5,8,3,2022-07-03
Kostas_Spiliopoulos3904,1,2,-12,17,5,0,4,1,2,7,5,2022-06-12
Giorgos_Ren,5,2,2,2,4,1,6,0,1,7,6,2022-05-31
bernikolaschamp1992,1,2,-2,12,10,0,0,5,3,8,5,2022-05-02
athanasiosiasonas,4,1,-3,7,4,0,4,0,4,8,4,2022-04-20
Pierre34,3,0,13,1,14,0,7,0,0,7,7,2022-04-18
drakem43,2,1,-7,10,3,1,7,1,0,8,8,2022-04-11
KostasBoutsas,5,2,13,2,15,1,6,0,2,8,6,2022-03-28
Elenigrgr,5,2,17,2,19,0,8,0,0,8,8,2022-03-11
Gab_Ts,4,1,1,0,1,0,7,0,1,8,7,2024-02-01
gottobebh,5,2,-1,1,0,0,6,0,0,6,6,2023-01-18
dinos_stone,3,0,-1,4,3,1,3,1,4,8,4,2022-07-06
kostas_fragos95,2,1,3,1,4,1,5,1,2,8,6,2022-05-14
stelmel321,1,2,-9,14,5,1,5,3,0,8,8,2022-03-01
Grig0ris_K,4,1,1,7,8,0,4,0,2,6,4,2021-10-29
alexandrosemperor8,5,2,1,4,5,0,8,0,0,8,8,2021-10-13
gkleidaras,5,2,2,0,2,0,8,0,0,8,8,2024-03-07
Don.Cristos.,5,2,5,1,6,1,6,0,2,8,6,2024-02-07
alfotis,4,1,-2,5,3,1,5,0,3,8,5,2024-02-06
Peter_topouzis9920,4,1,-2,4,2,1,7,0,1,8,7,2024-01-25
grigorios_platis,5,2,12,5,17,1,8,0,0,8,8,2023-11-14
Myrto_Vrav,2,1,-16,25,9,0,4,3,0,7,7,2023-03-26
Don.Cristos.,5,2,4,1,5,1,6,0,2,8,6,2024-02-07
alfotis,4,1,-3,5,2,1,5,0,3,8,5,2024-02-06
Peter_topouzis9920,4,1,-1,3,2,1,7,0,1,8,7,2024-01-25
grigorios_platis,5,2,13,4,17,1,8,0,0,8,8,2023-11-14
Myrto_Vrav,2,1,-15,24,9,0,4,3,0,7,7,2023-03-26
Efty pet,5,2,1,1,2,1,4,0,4,8,4,2024-01-20
Konstantinos_Glentis,5,2,1,11,12,1,8,0,0,8,8,2023-10-17
IGE,5,2,4,0,4,1,8,0,0,8,8,2023-08-09
S0f0klis,4,1,4,0,4,0,7,0,1,8,7,2023-02-28
penny_papageorgiou_princessgr,5,2,1,3,4,1,8,0,0,8,8,2023-02-17
Andrew_Katsiaras,5,2,-5,6,1,1,6,0,2,8,6,2023-02-14
Leyteris_Koufopoulos2082,5,2,1,3,4,0,8,0,0,8,8,2023-01-30
PANAGIOTIS sira,5,2,8,1,9,0,6,0,2,8,6,2022-11-24
Emil82,5,2,1,4,5,0,6,0,2,8,6,2022-09-27
THeodoros_Petrou,1,2,-9,21,12,0,3,5,0,8,8,2022-09-22
Mimi_Mayrogianni,3,0,-21,26,5,1,5,0,2,7,5,2022-09-22
Johnpan83,5,2,16,8,24,0,8,0,0,8,8,2022-08-28
chris_afxon,5,2,0,3,3,0,6,0,1,7,6,2022-06-18
Manos_Bekhs,5,2,-1,12,11,1,8,0,0,8,8,2022-06-15
GEORGIOS_DEMEROUDIS,5,2,15,9,24,0,8,0,0,8,8,2022-05-19
manosvlachos2003,5,2,19,3,22,0,7,0,1,8,7,2022-04-05
